id_pessoa,horario_inicio_jogo,horario_fim_jogo,tempo_gasto,respostas_acertadas,respostas_skip,respostas_erradas,pontuacao_final

3,2025-03-22T13:20:11.647Z,2025-03-22T13:20:30.157Z,18,5,4,5,60
13,2025-03-20T21:45:03.358Z,2025-03-20T21:46:26.808Z,83,35,1,9,80
1,2025-03-22T13:30:46.262Z,2025-03-22T13:31:22.166Z,35,2,0,3,40
14,2025-03-20T21:51:28.817Z,2025-03-20T21:52:05.118Z,36,39,1,10,80
16,2025-03-20T21:52:50.512Z,2025-03-20T21:53:57.711Z,67,44,1,10,100
18,2025-03-20T21:55:16.425Z,2025-03-20T21:56:59.677Z,103,48,1,11,80
19,2025-03-20T21:57:29.928Z,2025-03-20T21:58:48.825Z,78,53,1,11,100
20,2025-03-20T22:00:12.664Z,2025-03-20T22:02:07.336Z,114,56,1,13,60
21,2025-03-20T22:02:34.079Z,2025-03-20T22:03:38.879Z,64,61,1,13,100
22,2025-03-20T22:05:22.374Z,2025-03-20T22:06:22.754Z,60,66,1,13,100
23,2025-03-20T22:07:04.854Z,2025-03-20T22:07:52.691Z,47,71,1,13,100
25,2025-03-20T22:08:58.324Z,2025-03-20T22:09:48.171Z,49,76,1,13,100
27,2025-03-20T22:10:27.716Z,2025-03-20T22:11:07.751Z,40,81,1,13,100
28,2025-03-20T22:11:37.573Z,2025-03-20T22:12:58.081Z,80,86,1,13,100
29,2025-03-20T22:13:39.045Z,2025-03-20T22:15:12.052Z,93,91,1,13,100
30,2025-03-20T22:15:40.381Z,2025-03-20T22:16:37.097Z,56,96,1,13,100
32,2025-03-20T22:17:44.317Z,2025-03-20T22:19:04.095Z,79,101,1,13,100
33,2025-03-20T22:19:33.666Z,2025-03-20T22:20:16.815Z,43,106,1,13,100
34,2025-03-20T22:21:00.742Z,2025-03-20T22:21:48.115Z,47,111,1,13,100
36,2025-03-20T22:22:15.631Z,2025-03-20T22:22:52.936Z,37,116,1,13,100
38,2025-03-20T22:23:48.586Z,2025-03-20T22:25:00.698Z,72,121,1,13,100
39,2025-03-20T22:25:37.365Z,2025-03-20T22:26:34.472Z,57,126,1,13,100
41,2025-03-20T22:27:06.578Z,2025-03-20T22:28:09.326Z,62,131,1,13,100
42,2025-03-20T22:28:43.341Z,2025-03-20T22:29:47.425Z,64,136,1,13,100
43,2025-03-20T22:30:17.268Z,2025-03-20T22:30:59.264Z,41,141,1,13,100
45,2025-03-20T22:31:30.264Z,2025-03-20T22:32:29.391Z,59,146,1,13,100
47,2025-03-20T22:33:37.596Z,2025-03-20T22:34:24.897Z,47,151,1,13,100
48,2025-03-20T22:35:51.025Z,2025-03-20T22:36:51.547Z,60,156,1,13,100
50,2025-03-20T22:38:01.762Z,2025-03-20T22:39:16.880Z,75,159,1,15,60
51,2025-03-20T22:40:07.464Z,2025-03-20T22:41:48.838Z,101,164,1,15,100
53,2025-03-20T22:43:14.591Z,2025-03-20T22:44:38.502Z,83,169,1,15,100
55,2025-03-20T22:45:07.892Z,2025-03-20T22:46:33.971Z,86,174,1,15,100
57,2025-03-20T22:47:04.172Z,2025-03-20T22:47:38.753Z,34,178,1,16,80
58,2025-03-20T22:48:04.337Z,2025-03-20T22:48:48.587Z,44,182,1,17,80
59,2025-03-20T22:49:20.072Z,2025-03-20T22:50:31.794Z,71,186,1,18,80
61,2025-03-20T22:51:36.916Z,2025-03-20T22:52:36.465Z,59,191,1,18,100
62,2025-03-20T22:53:57.674Z,2025-03-20T22:54:48.579Z,50,196,1,18,100
64,2025-03-20T22:55:30.089Z,2025-03-20T22:56:21.045Z,50,201,1,18,100
66,2025-03-20T22:58:35.958Z,2025-03-20T23:00:26.707Z,110,204,2,19,60
70,2025-03-20T23:00:58.290Z,2025-03-20T23:02:42.854Z,104,207,3,20,60
71,2025-03-20T23:03:13.380Z,2025-03-20T23:04:14.183Z,60,210,3,22,60
73,2025-03-20T23:05:44.782Z,2025-03-20T23:06:53.161Z,68,215,3,22,100
74,2025-03-20T23:09:54.251Z,2025-03-20T23:10:39.182Z,44,220,3,22,100
75,2025-03-20T23:12:12.812Z,2025-03-20T23:13:25.519Z,72,224,3,23,80
76,2025-03-20T23:14:30.344Z,2025-03-20T23:16:05.305Z,94,229,3,23,100
77,2025-03-20T23:17:30.849Z,2025-03-20T23:18:37.956Z,67,234,3,23,100
78,2025-03-20T23:21:07.850Z,2025-03-20T23:22:35.574Z,87,239,3,23,100
80,2025-03-20T23:27:13.945Z,2025-03-20T23:28:42.096Z,88,243,3,24,80
83,2025-03-20T23:39:45.098Z,2025-03-20T23:41:00.290Z,75,250,4,25,100
84,2025-03-20T23:41:52.703Z,2025-03-20T23:42:49.140Z,56,254,4,26,80
86,2025-03-20T23:43:28.051Z,2025-03-20T23:44:41.703Z,73,256,4,29,40
88,2025-03-20T23:45:30.859Z,2025-03-20T23:47:24.993Z,114,260,4,30,80
89,2025-03-20T23:47:55.416Z,2025-03-20T23:49:26.751Z,91,264,4,31,80
91,2025-03-20T23:54:26.266Z,2025-03-20T23:55:48.175Z,81,269,4,31,100
92,2025-03-21T00:02:41.929Z,2025-03-21T00:04:57.156Z,135,274,5,31,100
93,2025-03-21T00:08:21.996Z,2025-03-21T00:10:37.035Z,135,276,7,32,40
94,2025-03-21T00:24:18.418Z,2025-03-21T00:26:25.999Z,127,281,7,32,100
95,2025-03-21T00:27:38.761Z,2025-03-21T00:29:21.944Z,103,286,7,32,100
97,2025-03-21T00:56:37.427Z,2025-03-21T00:57:32.522Z,55,291,7,32,100
98,2025-03-21T01:00:31.948Z,2025-03-21T01:01:50.516Z,78,296,7,32,100
99,2025-03-21T01:03:11.528Z,2025-03-21T01:03:56.455Z,44,301,7,32,100
101,2025-03-21T01:11:04.432Z,2025-03-21T01:12:13.056Z,68,306,7,32,100
102,2025-03-21T01:14:50.978Z,2025-03-21T01:16:41.625Z,110,310,7,33,80
1,2025-03-23T02:09:56.760Z,2025-03-23T02:11:13.018Z,76,5,0,0,100

3,2025-03-25T16:11:26.328Z,2025-03-25T16:13:53.066Z,146,33,0,0,100
4,2025-03-25T16:47:46.608Z,2025-03-25T16:48:10.679Z,24,34,0,4,20
5,2025-03-25T16:52:21.394Z,2025-03-25T16:52:46.660Z,25,35,0,8,20
6,2025-03-25T17:33:43.224Z,2025-03-25T17:35:12.336Z,89,40,0,8,100
